#separator:tab
#html:true
#columns:普通话	粤语和英语
接下来的半年，大家会在十四楼集中办公，筹备组的后勤事务由小林负责。	跟(gan¹)住(zyu⁶)落(lok⁶)嚟(lai⁴)嘅(ge³)半(bun³)年(nin⁴)时(si⁴)间(gaan³)，大(daai⁶)家(gaa¹)会(wui⁶)喺(hai²)十(sap⁶)四(sei³)楼(lau²)集(zaap⁶)中(zung¹)办(baan⁶)公(gung¹)，上(soeng⁵)市(si⁵)筹(cau⁴)备(bei⁶)组(zou²)嘅(ge³)后(hau⁶)勤(kan⁴)事(si⁶)务(mou⁶)由(jau⁴)小(siu²)林(lam⁴)负(fu⁶)责(zaak³)。<br>For the next six months, everyone will work together on the fourteenth floor, and Lam will handle the team’s administrative support.
我们目前最主要的任务是在中介公司的协助下进行全公司的尽职调查！	我(ngo⁵)哋(dei⁶)目(muk⁶)前(cin⁴)最(zeoi³)主(zyu²)要(jiu³)嘅(ge³)任(jam⁶)务(mou⁶)系(hai⁶)，喺(hai²)中(zung¹)介(gaai³)公(gung¹)司(si¹)嘅(ge³)协(hip³)助(zo⁶)下(haa⁶)进(zeon³)行(hang⁴)全(cyun⁴)公(gung¹)司(si¹)嘅(ge³)尽(zeon⁶)职(zik¹)调(diu⁶)查(caa⁴)！<br>Our main task at present is to carry out company-wide due diligence with support from the advisers.
请大家做好加班的心理准备。现在请小林介绍具体分工！	请(cing²)大(daai⁶)家(gaa¹)做(zou⁶)好(hou²)加(gaa¹)班(baan¹)嘅(ge³)心(sam¹)理(lei⁵)准(zeon²)备(bei⁶)。宜(ji⁴)家(gaa¹)小(siu²)林(lam⁴)介(gaai³)绍(siu⁶)吓(haa²)具(geoi⁶)体(tai²)嘅(ge³)分(fan¹)工(gung¹)！<br>Please be prepared to work overtime. Lam will now explain the detailed division of responsibilities.
好的，谢谢肖总。下面我介绍筹备组财务、人力资源和业务管线三大板块的分工！	好(hou²)嘅(ge³)，多(do¹)谢(ze⁶)肖(ciu³)总(zung²)。下(haa⁶)面(min⁶)我(ngo⁵)嚟(lai⁴)介(gaai³)绍(siu⁶)吓(haa²)上(soeng⁵)市(si⁵)筹(cau⁴)备(bei⁶)组(zou²)嘅(ge³)财(coi⁴)务(mou⁶)、人(jan⁴)力(lik⁶)资(zi¹)源(jyun⁴)同(tung⁴)埋(maai⁴)业(jip⁶)务(mou⁶)管(gun²)线(sin³)三(saam¹)大(daai⁶)板(baan²)块(faai³)嘅(ge³)工(gung¹)作(zok³)分(fan¹)工(gung¹)！<br>Thank you, Mr Siu. I will now outline how the work is divided across finance, human resources and the business units.
徐总您好，以后请多多指教！	徐(ceoi⁴)总(zung²)你(nei⁵)好(hou²)，以(ji⁵)后(hau⁶)要(jiu³)多(do¹)多(do¹)指(zi²)教(gaau³)！<br>Hello, Mr Tsui. I look forward to learning from you.
听说你今年才加入公司，这么年轻就有这么多机会，要好好珍惜！	好(hou²)似(ci⁵)话(waa⁶)你(nei⁵)系(hai⁶)今(gam¹)年(nin⁴)先(sin¹)至(zi³)入(jap⁶)嚟(lai⁴)公(gung¹)司(si¹)嘅(ge³)喎(wo³)，咁(gam³)后(hau⁶)生(saang¹)就(zau⁶)有(jau⁵)咁(gam³)多(do¹)机(gei¹)会(wui⁶)，要(jiu³)好(hou²)好(hou²)珍(zan¹)惜(sik¹)啊(aa³)！<br>I hear you only joined the company this year. You are fortunate to have so many opportunities at this stage, so make the most of them.
谢谢徐总，我明白！很感谢公司给我这个新人机会参与这么重要的项目。	多(do¹)谢(ze⁶)徐(ceoi⁴)总(zung²)，我(ngo⁵)明(ming⁴)白(baak⁶)嘅(ge³)！真(zan¹)系(hai⁶)好(hou²)感(gam²)激(gik¹)公(gung¹)司(si¹)俾(bei²)我(ngo⁵)呢(ni¹)个(go³)新(san¹)人(jan⁴)有(jau⁵)机(gei¹)会(wui⁶)参(caam¹)加(gaa¹)咁(gam³)重(zung⁶)要(jiu³)嘅(ge³)项(hong⁶)目(muk⁶)。<br>Thank you, Mr Tsui. I understand, and I am genuinely grateful that the company has given a newcomer like me the chance to take part in such an important project.
你以后想做什么？职业上有没有什么规划？	你(nei⁵)以(ji⁵)后(hau⁶)想(soeng²)做(zou⁶)啲(di¹)咩(me¹)啊(aa³)？职(zik¹)业(jip⁶)上(soeng⁶)有(jau⁵)冇(mou⁵)咩(me¹)规(kwai¹)划(waa¹)？<br>What would you like to do in the future? Do you have a career plan?
我的本科和硕士都是人力资源专业，希望以后从事综合管理工作。	我(ngo⁵)本(bun²)科(fo¹)同(tung⁴)硕(sek⁶)士(si⁶)都(dou¹)系(hai⁶)人(jan⁴)力(lik⁶)资(zi¹)源(jyun⁴)专(zyun¹)业(jip⁶)嘅(ge³)，我(ngo⁵)希(hei¹)望(mong⁶)以(ji⁵)后(hau⁶)都(dou¹)系(hai⁶)从(cung⁴)事(si⁶)返(faan²)综(zung³)合(hap⁶)管(gun²)理(lei⁵)方(fong¹)面(min⁶)嘅(ge³)工(gung¹)作(zok³)。<br>Both my bachelor’s and master’s degrees are in human resources, and I hope to build a career in general management.
好，这次担任小组秘书是一个很难得的机会。	好(hou²)，咁(gam³)今(gam¹)次(ci³)作(zok³)为(wai⁴)小(siu²)组(zou²)秘(bei³)书(syu¹)真(zan¹)系(hai⁶)好(hou²)难(naan⁴)得(dak¹)嘅(ge³)机(gei¹)会(wui⁶)。<br>Good. In that case, serving as the team secretary is a valuable opportunity.
我明白，希望徐总以后多多关照！	我(ngo⁵)明(ming⁴)白(baak⁶)，希(hei¹)望(mong⁶)徐(ceoi⁴)总(zung²)以(ji⁵)后(hau⁶)多(do¹)多(do¹)关(gwaan¹)照(ziu³)！<br>I understand. I hope I can continue to count on your guidance, Mr Tsui!
不要这么说，大家都是为公司工作！用心干！	唔(m⁴)好(hou²)咁(gam³)讲(gong²)，大(daai⁶)家(gaa¹)都(dou¹)系(hai⁶)帮(bong¹)公(gung¹)司(si¹)做(zou⁶)嘢(je⁵)！俾(bei²)心(sam¹)机(gei¹)！<br>Do not mention it. We are all working for the company. Give it your best!
我有些事情想跟你说！	我(ngo⁵)有(jau⁵)啲(di¹)嘢(je⁵)想(soeng²)同(tung⁴)你(nei⁵)讲(gong²)啊(aa³)！<br>There is something I would like to talk to you about!
今晚有时间出来吗？	今(gam¹)晚(maan⁵)有(jau⁵)冇(mou⁵)时(si⁴)间(gaan³)出(ceot¹)嚟(lai⁴)啊(aa³)？<br>Are you free to meet up this evening?
你知道今天是什么日子吗？	你(nei⁵)知(zi¹)唔(m⁴)知(zi¹)今(gam¹)日(jat⁶)系(hai⁶)咩(me¹)日(jat⁶)子(zi²)啊(aa³)？<br>Do you know what day it is today?
你刚才说什么来着？	你(nei⁵)头(tau⁴)先(sin¹)话(waa⁶)咩(me¹)话(waa²)？<br>What did you just say?
杨老师您好，进来坐吧！	杨(joeng⁴)老(lou⁵)师(si¹)你(nei⁵)好(hou²)啊(aa³)，入(jap⁶)嚟(lai⁴)坐(zo⁶)吖(aa¹)！<br>Hello, Ms Yeung. Please come in and have a seat!
我们特地带你出来喝茶！	我(ngo⁵)哋(dei⁶)特(dak⁶)登(dang¹)带(daai³)你(nei⁵)出(ceot¹)嚟(lai⁴)饮(jam²)茶(caa⁴)嘎(gaa³)！<br>We brought you out specially for some dim sum!
这些节日是不是会放假？	咁(gam³)好(hou²)似(ci⁵)呢(ni¹)啲(di¹)节(zit³)日(jat⁶)有(jau⁵)冇(mou⁵)假(gaa²)放(fong³)嘎(gaa³)？<br>Do people get time off for these festivals?
你们平时怎么过传统节日？	你(nei⁵)哋(dei⁶)平(ping⁴)时(si⁴)啲(di¹)传(cyun⁴)统(tung²)节(zit³)日(jat⁶)点(dim²)样(joeng²)过(gwo³)嘎(gaa³)？<br>How do you usually celebrate traditional festivals?
快点拿些水果出来给老师吃！	快(faai³)啲(di¹)去(heoi³)攞(lo²)啲(di¹)生(saang¹)果(gwo²)出(ceot¹)嚟(lai⁴)俾(bei²)老(lou⁵)师(si¹)食(sik⁶)！<br>Quick, bring out some fruit for the teacher!
大家都这么熟了，在电话里说也一样！	大(daai⁶)家(gaa¹)都(dou¹)咁(gam³)熟(suk⁶)，喺(hai²)电(din⁶)话(waa²)度(dou⁶)讲(gong²)都(dou¹)系(hai⁶)一(jat¹)样(joeng⁴)啫(ze¹)！<br>We know each other well, so you can just tell me over the phone!
杨老师，我有些事情想跟你说！	杨(joeng⁴)老(lou⁵)师(si¹)，我(ngo⁵)有(jau⁵)啲(di¹)嘢(je⁵)想(soeng²)同(tung⁴)你(nei⁵)讲(gong²)啊(aa³)！<br>Ms Yeung, there is something I would like to tell you!
什么事？	咩(me¹)事(si⁶)啊(aa³)？<br>What is it?
今晚有时间出来吗？我觉得面对面说会好一点。	今(gam¹)晚(maan⁵)有(jau⁵)冇(mou⁵)时(si⁴)间(gaan³)出(ceot¹)嚟(lai⁴)啊(aa³)？我(ngo⁵)觉(gok³)得(dak¹)面(min⁶)对(deoi³)面(min⁶)讲(gong²)会(wui⁶)好(hou²)啲(di¹)。<br>Are you free tonight? I think it would be better to talk face to face.
大家都这么熟了，在电话里说也一样！	大(daai⁶)家(gaa¹)都(dou¹)咁(gam³)熟(suk⁶)，喺(hai²)电(din⁶)话(waa²)度(dou⁶)讲(gong²)都(dou¹)系(hai⁶)一(jat¹)样(joeng⁴)啫(ze¹)！<br>We know each other well enough. Just tell me over the phone!
其实这件事我藏在心里很久了，一直没有机会告诉你。	其(kei⁴)实(sat⁶)呢(ni¹)件(gin⁶)事(si⁶)我(ngo⁵)摆(baai²)喺(hai²)心(sam¹)入(jap⁶)面(min⁶)已(ji⁵)经(ging¹)好(hou²)耐(noi⁶)嘎(gaa³)喇(laa³)，一(jat¹)直(zik⁶)都(dou¹)冇(mou⁵)机(gei¹)会(wui⁶)同(tung⁴)你(nei⁵)讲(gong²)。<br>I have kept this to myself for a long time and have never had the chance to tell you.
这么神秘？让我猜猜，你是不是想辞职？	哇(waa¹)，咁(gam³)神(san⁴)秘(bei³)？等(dang²)我(ngo⁵)估(gu²)吓(haa²)先(sin¹)，系(hai⁶)咪(mai⁶)你(nei⁵)想(soeng²)辞(ci⁴)职(zik¹)啊(aa³)？<br>Wow, that sounds mysterious. Let me guess, are you planning to resign?
当然不是，我现在工作得很开心，因为每天都能见到你。	梗(gang²)系(hai⁶)唔(m⁴)系(hai⁶)啦(laa¹)，我(ngo⁵)宜(ji⁴)家(gaa¹)份(fan⁶)工(gung¹)做(zou⁶)得(dak¹)好(hou²)开(hoi¹)心(sam¹)，因(jan¹)为(wai⁴)可(ho²)以(ji⁵)日(jat⁶)日(jat⁶)都(dou¹)见(gin³)到(dou²)你(nei⁵)。<br>Of course not. I really enjoy my job because I get to see you every day.
每天都见到我……你刚才说什么？	日(jat⁶)日(jat⁶)都(dou¹)见(gin³)到(dou²)我(ngo⁵)……你(nei⁵)头(tau⁴)先(sin¹)话(waa⁶)咩(me¹)话(waa²)？<br>You see me every day... What did you just say?
阿珊，可以做我的女朋友吗？	阿(aa³)珊(saan¹)，做(zou⁶)我(ngo⁵)女(neoi⁵)朋(pang⁴)友(jau⁵)得(dak¹)唔(m⁴)得(dak¹)啊(aa³)？<br>Ah Shan, would you be my girlfriend?
妈妈，杨老师来了！	阿(aa³)妈(maa¹)，杨(joeng⁴)老(lou⁵)师(si¹)嚟(lai⁴)啦(laa¹)！<br>Mum, Ms Yeung is here!
小明妈妈您好，我是小明的班主任，我叫杨美珊。	明(ming⁴)仔(zai²)妈(maa⁴)妈(maa¹)你(nei⁵)好(hou²)，我(ngo⁵)系(hai⁶)明(ming⁴)仔(zai²)班(baan¹)主(zyu²)任(jam⁶)，我(ngo⁵)叫(giu³)杨(joeng⁴)美(mei⁵)珊(saan¹)。<br>Hello, Ming’s mother. I am Ming’s form teacher, Yeung Mei-shan.
杨老师您好，进来坐吧！	杨(joeng⁴)老(lou⁵)师(si¹)你(nei⁵)好(hou²)啊(aa³)，入(jap⁶)嚟(lai⁴)坐(zo⁶)吖(aa¹)！<br>Hello, Ms Yeung. Please come in and have a seat!
是不是那小子在学校不听话？还是考试考得不好？	系(hai⁶)咪(mai⁶)个(go³)衰(seoi¹)仔(zai²)喺(hai²)学(hok⁶)校(haau⁶)唔(m⁴)听(ting¹)话(waa⁶)啊(aa³)？定(ding⁶)系(hai⁶)考(haau²)试(si⁵)考(haau²)得(dak¹)唔(m⁴)好(hou²)？<br>Has that rascal been misbehaving at school, or has he done badly in his exams?
我哪里有不听话？	哇(waa¹)，我(ngo⁵)边(bin¹)有(jau⁵)唔(m⁴)听(ting¹)话(waa⁶)啊(aa³)？<br>Come on, when have I ever misbehaved?
不是，两位家长不用担心，这次只是中考前的例行家访！	唔(m⁴)系(hai⁶)，两(loeng⁵)位(wai⁶)家(gaa¹)长(zoeng²)唔(m⁴)使(sai²)担(daam¹)心(sam¹)，今(gam¹)次(ci³)系(hai⁶)中(zung¹)考(haau²)前(cin⁴)嘅(ge³)例(lai⁶)行(hang⁴)家(gaa¹)访(fong²)啫(ze¹)！<br>No, please do not worry. This is simply a routine home visit before the entrance examination.
杨老师请喝茶。儿子，快点拿些水果给老师吃！	杨(joeng⁴)老(lou⁵)师(si¹)饮(jam²)杯(bui¹)茶(caa⁴)吖(aa¹)。仔(zai²)，快(faai³)啲(di¹)去(heoi³)攞(lo²)啲(di¹)生(saang¹)果(gwo²)出(ceot¹)嚟(lai⁴)俾(bei²)老(lou⁵)师(si¹)食(sik⁶)！<br>Have some tea, Ms Yeung. Son, bring out some fruit for the teacher!
小明妈妈不用这么客气！	明(ming⁴)仔(zai²)妈(maa⁴)妈(maa¹)唔(m⁴)使(sai²)咁(gam³)客(haak³)气(hei³)嘎(gaa³)！<br>There is no need to go to so much trouble!
应该的，杨老师平时这么照顾小明！臭小子，快点！	要(jiu³)嘅(ge³)要(jiu³)嘅(ge³)，杨(joeng⁴)老(lou⁵)师(si¹)平(ping⁴)时(si⁴)咁(gam³)照(ziu³)顾(gu³)明(ming⁴)仔(zai²)！衰(seoi¹)仔(zai²)，快(faai³)手(sau²)啲(di¹)！<br>Of course we should. You take such good care of Ming. Hurry up, you little rascal!
公公，你知不知道今天是什么日子？	老(lou⁵)爷(je⁴)，你(nei⁵)知(zi¹)唔(m⁴)知(zi¹)今(gam¹)日(jat⁶)系(hai⁶)咩(me¹)日(jat⁶)子(zi²)啊(aa³)？<br>Dad, do you know what day it is today?
今天吗？让我想想！年纪大了，都不记得是什么日子了！	今(gam¹)日(jat⁶)啊(aa³)？等(dang²)我(ngo⁵)谂(nam²)吓(haa²)先(sin¹)！年(nin⁴)纪(gei²)大(daai⁶)咯(gok¹)，都(dou¹)唔(m⁴)记(gei³)得(dak¹)系(hai⁶)咩(me¹)日(jat⁶)子(zi²)添(tim¹)！<br>Today? Let me think. I am getting older and cannot even remember what day it is!
爸爸，今天是父亲节！	老(lou⁵)豆(dau⁶)，今(gam¹)日(jat⁶)系(hai⁶)父(fu⁶)亲(can¹)节(zit³)啊(aa³)！<br>Dad, it is Father’s Day today!
父亲节？有这样的节日吗？	父(fu⁶)亲(can¹)节(zit³)，有(jau⁵)咁(gam³)嘅(ge³)节(zit³)日(jat⁶)嘎(gaa³)咩(me¹)？<br>Father’s Day? Is that really a thing?
当然有，公公，我们特地带你出来喝茶！	梗(gang²)系(hai⁶)有(jau⁵)啦(laa¹)老(lou⁵)爷(je⁴)，我(ngo⁵)哋(dei⁶)特(dak⁶)登(dang¹)带(daai³)你(nei⁵)出(ceot¹)嚟(lai⁴)饮(jam²)茶(caa⁴)嘎(gaa³)！<br>Of course it is. We brought you out specially for dim sum!
等会儿陪爸爸逛公园，中午去享用著名烧鹅！	阵(zan⁶)间(gaan¹)我(ngo⁵)哋(dei⁶)陪(pui⁴)老(lou⁵)豆(dau⁶)一(jat¹)齐(cai⁴)逛(kwaang³)公(gung¹)园(jyun²)，中(zung¹)午(ng⁵)去(heoi³)叹(taan³)驰(ci⁴)名(ming⁴)烧(siu¹)鹅(ngo²)！<br>Later, we will take Dad for a walk in the park and enjoy some famous roast goose for lunch!
不过公公要注意高胆固醇，不能吃太多！然后再去逛花鸟市场！	不(bat¹)过(gwo³)老(lou⁵)爷(je⁴)你(nei⁵)要(jiu³)小(siu²)心(sam¹)胆(daam²)固(gu³)醇(seon⁴)高(gou¹)，唔(m⁴)可(ho²)以(ji⁵)食(sik⁶)咁(gam³)多(do¹)嘎(gaa³)！跟(gan¹)住(zyu⁶)我(ngo⁵)哋(dei⁶)再(zoi³)去(heoi³)行(haang⁴)花(faa¹)鸟(niu⁵)市(si⁵)场(coeng⁴)！<br>But you need to watch your cholesterol, so do not eat too much. After that, we can visit the flower and bird market!
安排是不是很丰富？	节(zit³)目(muk⁶)系(hai⁶)咪(mai⁶)好(hou²)丰(fung¹)富(fu³)呢(ne¹)？<br>That is quite a full programme, is it not?
真开心，儿子和儿媳都这么孝顺我！	真(zan¹)系(hai⁶)开(hoi¹)心(sam¹)咯(gok¹)，仔(zai²)同(tung⁴)新(san¹)抱(pou⁵)都(dou¹)咁(gam³)孝(haau³)顺(seon⁶)我(ngo⁵)！<br>I am delighted that my son and daughter-in-law are so thoughtful!
阿全，你们平时怎么过传统节日？	高(gou¹)佬(lou²)全(cyun⁴)，你(nei⁵)哋(dei⁶)平(ping⁴)时(si⁴)啲(di¹)传(cyun⁴)统(tung²)节(zit³)日(jat⁶)点(dim²)样(joeng²)过(gwo³)嘎(gaa³)？<br>Ah Chuen, how do you usually celebrate traditional festivals?
你说传统节日？端午、中秋、清明那些吗？	你(nei⁵)话(waa⁶)传(cyun⁴)统(tung²)节(zit³)日(jat⁶)啊(aa³)？端(dyun¹)午(ng⁵)啊(aa³)、中(zung¹)秋(cau¹)啊(aa³)、清(cing¹)明(ming⁴)啊(aa³)，嗰(go²)啲(di¹)？<br>Do you mean festivals such as the Dragon Boat Festival, Mid-Autumn Festival and Ching Ming?
对，就是那些！你们会举行什么活动吗？	系(hai⁶)啊(aa³)系(hai⁶)啊(aa³)，就(zau⁶)系(hai⁶)嗰(go²)啲(di¹)！你(nei⁵)哋(dei⁶)会(wui⁶)唔(m⁴)会(wui⁶)搞(gaau²)咩(me¹)活(wut⁶)动(dung⁶)嘎(gaa³)？<br>Yes, exactly. Do you organise any special activities?
当然会，端午节广州很多地方都会赛龙舟！	梗(gang²)系(hai⁶)会(wui⁶)啦(laa¹)，端(dyun¹)午(ng⁵)节(zit³)广(gwong²)州(zau¹)好(hou²)多(do¹)地(dei⁶)方(fong¹)都(dou¹)爬(paa⁴)龙(lung⁴)船(syun⁴)嘎(gaa³)！<br>Of course. During the Dragon Boat Festival, races are held all over Guangzhou!
像香港一样，也有国际龙舟邀请赛！	好(hou²)似(ci⁵)香(hoeng¹)港(gong²)咁(gam³)，都(dou¹)有(jau⁵)国(gwok³)际(zai³)龙(lung⁴)舟(zau¹)邀(jiu¹)请(cing²)赛(coi³)！<br>Just like Hong Kong, there is also an international dragon boat invitational race!
不过广州的没有那么大型。	不(bat¹)过(gwo³)广(gwong²)州(zau¹)啲(di¹)就(zau⁶)冇(mou⁵)咁(gam³)大(daai⁶)型(jing⁴)。<br>The events in Guangzhou are not quite as large, though.
中秋节有晚会、猜灯谜、放烟花！	中(zung¹)秋(cau¹)节(zit³)有(jau⁵)晚(maan⁵)会(wui²)啦(laa¹)，猜(caai¹)吓(haa²)灯(dang¹)谜(mai⁴)，放(fong³)吓(haa²)烟(jin¹)花(faa¹)咁(gam³)！<br>At Mid-Autumn Festival, there are evening shows, lantern riddles and fireworks!
就是中秋焰火晚会！原来和香港差不多！	中(zung¹)秋(cau¹)焰(jim⁶)火(fo²)晚(maan⁵)会(wui²)吖(aa¹)嘛(maa³)！原(jyun⁴)嚟(lai⁴)同(tung⁴)香(hoeng¹)港(gong²)都(dou¹)差(caa¹)唔(m⁴)多(do¹)！<br>A Mid-Autumn fireworks show! So it is quite similar to Hong Kong!
清明还会扫墓，以前小学时学校会组织去烈士陵园祭拜烈士！	我(ngo⁵)哋(dei⁶)清(cing¹)明(ming⁴)仲(zung⁶)会(wui⁶)去(heoi³)扫(sou³)墓(mou⁶)，以(ji⁵)前(cin⁴)小(siu²)学(hok⁶)嗰(go²)阵(zan⁶)，学(hok⁶)校(haau⁶)会(wui⁶)组(zou²)织(zik¹)去(heoi³)烈(lit⁶)士(si⁶)陵(ling⁴)园(jyun⁴)拜(baai³)祭(zai³)啲(di¹)烈(lit⁶)士(si⁶)！<br>At Ching Ming, we also visit graves. When I was in primary school, the school organised visits to the martyrs’ cemetery to pay our respects.
这些节日会放假吗？	咁(gam³)好(hou²)似(ci⁵)呢(ni¹)啲(di¹)节(zit³)日(jat⁶)有(jau⁵)冇(mou⁵)假(gaa²)放(fong³)嘎(gaa³)？<br>Do people get public holidays for these festivals?
我记得这些传统节日以前不放假，不过近几年开始放假了！	我(ngo⁵)记(gei³)得(dak¹)呢(ni¹)啲(di¹)传(cyun⁴)统(tung²)节(zit³)日(jat⁶)以(ji⁵)前(cin⁴)冇(mou⁵)假(gaa²)放(fong³)嘅(ge³)，不(bat¹)过(gwo³)近(gan⁶)呢(ne¹)几(gei¹)年(nin⁴)就(zau⁶)有(jau⁵)喇(laa³)！<br>If I remember correctly, these festivals were not public holidays before, but they have been in recent years!
不是你还会有谁？	唔(m⁴)系(hai⁶)你(nei⁵)仲(zung⁶)有(jau⁵)边(bin¹)个(go³)吖(aa¹)？<br>If it was not you, who else could it have been?
你不要逮着谁就赖谁！	你(nei⁵)唔(m⁴)好(hou²)赖(laai⁶)得(dak¹)就(zau⁶)赖(laai⁶)喎(wo³)！<br>Do not just pin the blame on whoever is convenient!
这条街谁不认识我？	呢(ni¹)条(tiu⁴)街(gaai¹)边(bin¹)个(go³)唔(m⁴)识(sik¹)我(ngo⁵)吖(aa¹)？<br>Everyone on this street knows who I am!
我堂堂正正！	我(ngo⁵)行(haang⁴)得(dak¹)正(zing³)，企(kei⁵)得(dak¹)正(zing³)！<br>I have nothing to hide and nothing to be ashamed of!
你现在就是在推卸责任！	你(nei⁵)宜(ji⁴)家(gaa¹)即(zik¹)系(hai⁶)推(teoi¹)卸(se³)责(zaak³)任(jam⁶)啦(laa¹)！<br>You are simply trying to avoid responsibility now!
做这种昧良心的生意还这么嘴硬？	做(zou⁶)埋(maai⁴)啲(di¹)黑(haak¹)心(sam¹)生(saang¹)意(ji³)仲(zung⁶)咁(gam³)口(hau⁴)硬(ngaang⁶)？<br>How can you still be so defiant after doing such dishonest business?
那你就是主动给别人机会追求你了？	咁(gam³)你(nei⁵)即(zik¹)系(hai⁶)自(zi⁶)己(gei²)俾(bei²)机(gei¹)会(wui⁶)人(jan⁴)哋(dei⁶)追(zeoi¹)你(nei⁵)啦(laa¹)？<br>So you are basically giving someone else the chance to pursue you?
只有你妈妈重要，我爸爸就不重要吗？	得(dak¹)你(nei⁵)阿(aa³)妈(maa¹)系(hai⁶)人(jan⁴)，我(ngo⁵)老(lou⁵)豆(dau⁶)就(zau⁶)唔(m⁴)系(hai⁶)人(jan⁴)！<br>So only your mother matters, while my father does not?
春节回去看望我妈妈有什么大不了的？	春(ceon¹)节(zit³)返(faan¹)去(heoi³)探(taam³)吓(haa²)我(ngo⁵)阿(aa³)妈(maa¹)有(jau⁵)咩(me¹)咁(gam³)大(daai⁶)不(bat¹)了(liu⁵)喎(wo³)！<br>What is so unreasonable about visiting my mother during the Spring Festival?
上次不是说好今年春节陪我爸爸吗？	上(soeng⁶)次(ci³)唔(m⁴)系(hai⁶)讲(gong²)好(hou²)今(gam¹)年(nin⁴)春(ceon¹)节(zit³)陪(pui⁴)我(ngo⁵)老(lou⁵)豆(dau⁶)嘎(gaa³)咩(me¹)？<br>Did we not agree to spend this Spring Festival with my father?
你有没有搞错？光顾你这么久，你竟然还骗阿姨？	你(nei⁵)有(jau⁵)冇(mou⁵)搞(gaau²)错(co³)啊(aa³)，猪(zyu¹)肉(juk⁶)荣(wing⁴)？帮(bong¹)衬(can³)你(nei⁵)咁(gam³)耐(noi⁶)，你(nei⁵)呃(ak¹)阿(aa³)姨(ji¹)都(dou¹)有(jau⁵)嘅(ge³)？<br>Are you serious? I have been your customer for years, and you would still cheat me?
张阿姨，别把“骗”字说得这么难听！我什么时候骗过你？	喂(wai³)，张(zoeng¹)姨(ji¹)，咪(mai⁵)“呃(ak¹)呃(ak¹)”声(sing¹)咁(gam³)难(naan⁴)听(ting¹)喎(wo³)！几(gei¹)时(si⁴)有(jau⁵)呃(ak¹)你(nei⁵)啊(aa³)？<br>Come on, do not accuse me of cheating you. When have I ever done that?
你昨天卖给我的那块猪肉不新鲜！我孙子吃了肚子痛！	你(nei⁵)琴(kam⁴)日(jat⁶)卖(maai⁶)俾(bei²)我(ngo⁵)旧(gau⁶)猪(zyu¹)肉(juk⁶)都(dou¹)唔(m⁴)新(san¹)鲜(sin¹)嘅(ge³)！我(ngo⁵)个(go³)孙(syun¹)食(sik⁶)咗(zo²)肚(tou⁵)痛(tung³)啊(aa³)！<br>The pork you sold me yesterday was not fresh. My grandson ate it and got a stomach ache!
我卖猪肉卖了十几年，这条街谁不认识我？	我(ngo⁵)猪(zyu¹)肉(juk⁶)荣(wing⁴)卖(maai⁶)猪(zyu¹)肉(juk⁶)卖(maai⁶)咗(zo²)十(sap⁶)几(gei¹)年(nin⁴)，呢(ni¹)条(tiu⁴)街(gaai¹)边(bin¹)个(go³)唔(m⁴)识(sik¹)我(ngo⁵)吖(aa¹)？<br>I have been selling pork here for more than ten years. Everyone on this street knows me!
我怎么可能卖死猪肉？	有(jau⁵)乜(mat¹)可(ho²)能(nang⁴)卖(maai⁶)死(sei²)猪(zyu¹)肉(juk⁶)啊(aa³)？<br>How could I possibly sell meat from a dead pig?
我把孙子送进医院，医生说是食物感染！	我(ngo⁵)送(sung³)我(ngo⁵)个(go³)孙(syun¹)入(jap⁶)医(ai³)院(jyun²)，医(ji¹)生(sang¹)话(waa⁶)系(hai⁶)食(sik⁶)物(mat⁶)感(gam²)染(jim⁵)啊(aa³)！<br>I took my grandson to hospital, and the doctor said it was a food-borne infection!
他整晚只吃了一碗瘦肉粥，不是你还会有谁？	佢(keoi⁵)成(sing⁴)晚(maan⁵)就(zau⁶)净(zing⁶)系(hai⁶)食(sik⁶)咗(zo²)碗(wun²)瘦(sau³)肉(juk⁶)粥(zuk¹)，唔(m⁴)系(hai⁶)你(nei⁵)仲(zung⁶)有(jau⁵)边(bin¹)个(go³)吖(aa¹)？<br>The only thing he ate all evening was a bowl of pork congee. If it was not your meat, what else could it be?
张阿姨，你不要逮着谁就赖谁！	喂(wai³)，张(zoeng¹)姨(ji¹)，你(nei⁵)唔(m⁴)好(hou²)赖(laai⁶)得(dak¹)就(zau⁶)赖(laai⁶)喎(wo³)！<br>Do not simply blame me without proper evidence!
难道不能是你孙子吃了粥里的其他东西而肚子痛吗？	唔(m⁴)俾(bei²)你(nei⁵)个(go³)孙(syun¹)食(sik⁶)咗(zo²)你(nei⁵)碗(wun²)粥(zuk¹)入(jap⁶)面(min⁶)嘅(ge³)其(kei⁴)他(taa¹)嘢(je⁵)肚(tou⁵)痛(tung³)啊(aa³)？<br>Could something else in the congee have caused your grandson’s stomach ache?
你什么意思？现在就是在推卸责任！	你(nei⁵)咩(me¹)意(ji³)思(si¹)啊(aa³)？宜(ji⁴)家(gaa¹)即(zik¹)系(hai⁶)推(teoi¹)卸(se³)责(zaak³)任(jam⁶)啦(laa¹)！<br>What do you mean? You are just trying to avoid responsibility!
